age,age_cats,married,gender,race,educ,par1_educ,par2_educ,partisan_7pt,curr_county,curr_dem_margin,curr_phi_80_96,curr_phi_00_16,curr_pop,curr_white_alone,curr_workers_outside_home,curr_bach_degree_higher,curr_median_income,curr_gini,curr_avg_commute,curr_city,hs_county,hs_dem_margin,hs_phi_80_96,hs_phi_00_16,hs_pop,hs_white_alone,hs_workers_outside_home,hs_bach_degree_higher,hs_median_income,hs_gini,hs_avg_commute,hs_city,tenure,county_7pt,city_7pt,city_income,vote_primary,vote_pres,vote_local,why_vote,vote_duty,vote_choice,protest,petition,campaign,money_pol,money_soc,contact_congress,contact_local,volunteer_org,volunteer_solo,volunteer_hrs,par_volunteer,par_pol,par_events,citizen_voting,citizen_volunteer,citizen_protest,fam_size,fam_partisan,fam_convo,school,school_sports,school_volunteer,school_political,club_volunteer,club_political,hs_voice,employ,work_hrs,work_convos,work_political,school_hrs,religion,social_trust,neighbor,interest,f2f_comfort,f2f_different,end_friend,best_interest,hate_speech,disruption,govt_trust,efficacy,govt_services,num_contacts,talk_pol,talk_pol_sim,pol_discuss,soc_media,sm_hrs,web_hrs,tv_hrs,sm_comfort,sm_different,post_similar,post_different,add_political,partisan_3pt
61,60 and above,Married,Male,White,High school graduate,No HS,No HS,Liberal,"harnett, nc",-23.6,13.04,22.24,124320,84461,48383,15279,46353,0.4269,28.71876486,Fuquay Varina,"middlesex, ma",38.15220692,14.4,31.1744487,1556116,1230158,774644,563223,85118,0.4734,29.3315381,North Reading,11,Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a duty,Very strongly,A little strongly,No,Yes,No,No,No,No,No,No,No,Zero,A few times a year,Not at all,Rarely,A great deal,A great deal,A great deal,3,3,Very often,Public school,Very important,Somewhat important,Very important,Rarely,Rarely,Very often,Full-time,45,5,2,,Never,Some of the time,Very comfortable,Always,Very comfortable,Very comfortable,No,A moderate amount,Yes,Strongly agree,Never,Agree,Govt should provide more services,5,3,3,Most of the time,Yes,Zero to two,Two to four,More than three hours,Very comfortable,Very comfortable,Often,Rarely,Often,Liberal
53,45-59,Divorced,Female,White,Post-grad,Post-grad,Post-grad,Extremely Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"calhoun, mi",-12.5,13.42,5.76,134790,111511,53715,18262,42520,0.4465,20.54910174,Battle Creek,13,Moderate,Moderate,Middle class,Yes,Yes,No,Mainly a choice,Not at all,Very strongly,No,No,No,No,No,No,No,Yes,No,One to Four,Never,Not at all,Often,A little,A great deal,None at all,1,1,Not very often,Public school,Somewhat important,Not too important,Not at all important,Rarely,Rarely,Rarely,Full-time,50,4,0,,Never,Most of the time,Very comfortable,Never,Not comfortable at all,Not comfortable at all,No,None at all,Don't know,Disagree,About half the time,Agree,Govt should provide more services,5,0,0,Almost never,Yes,More than six,Four to six,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
22,18-29,Single,Female,Black,4-year,Post-grad,4-year,Liberal,"guilford, nc",19.9,9.96,11.56,506763,287617,220368,114006,45651,0.4831,21.31548138,Greensboro,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,4,Moderate,Moderate,Middle class,No,Yes,No,Mainly a duty,Moderately strongly,A little strongly,No,,No,No,No,No,No,Yes,No,One to Four,Once or twice a month,Not at all,Rarely,None at all,A moderate amount,A little,4,4,Often,Public school,Very important,Not too important,Not too important,Not very often,Rarely,Rarely,Part-time,35,6,0,,A few times a year,Some of the time,Somewhat comfortable,About half the time,Somewhat comfortable,Not too comfortable,No,A little,Yes,Disagree,Never,Agree,Govt should provide more services,4,4,4,Occasionally,Yes,Zero to two,Two to four,More than three hours,Somewhat comfortable,Somewhat comfortable,Not very often,Rarely,Rarely,Liberal
24,18-29,Single,Female,Black,4-year,Post-grad,4-year,Slightly Liberal,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,"Charlotte, NC","collin, tx",-16.7,42.96,33.1,862215,625093,404478,277382,84735,0.4308,28.18744159,"Frisco, TX",0,Liberal,Liberal,Middle class,No,No,No,Mainly a choice,Moderately strongly,Very strongly,No,Yes,No,No,No,No,No,No,Yes,One to Four,Never,Not at all,Rarely,None at all,A great deal,A great deal,4,4,Not very often,Public school,Very important,Somewhat important,Not too important,Rarely,Rarely,Often,Full-time,40,2,0,,Never,About half the time,Not too comfortable,Some of the time,Somewhat comfortable,Somewhat comfortable,No,A little,Yes,Strongly disagree,Never,Strongly agree,Govt provides the right amount of services,5,5,5,Most of the time,Yes,Two to four,Zero to two,Less than 1 hour,Somewhat comfortable,Somewhat comfortable,Often,Not very often,Rarely,Liberal
54,45-59,Divorced,Female,Black,Post-grad,Some college,High school graduate,Slightly Liberal,"montgomery, md",55.3,11.48,41.18,1017859,566202,503023,404242,99435,0.456,34.52186083,Bethesda,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,1,Moderate,Moderate,Middle class,Yes,Yes,Yes,Mainly a duty,Very strongly,Moderately strongly,No,No,No,No,No,No,No,Yes,No,One to Four,,Not at all,Rarely,A great deal,A great deal,A moderate amount,4,4,Not very often,Public school,Somewhat important,Somewhat important,Somewhat important,Rarely,Rarely,Not very often,Full-time,45,3,3,,Once or twice a month,Some of the time,Not too comfortable,Most of the time,Very comfortable,Somewhat comfortable,No,A little,Yes,Agree,Some of the time,Disagree,Govt provides the right amount of services,3,3,3,Occasionally,Yes,Zero to two,Zero to two,More than three hours,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
55,45-59,Married,Female,Black,Post-grad,Some college,Some college,Slightly Liberal,"contra costa, ca",42.7,13.56,32.58,,,,,,,,San Ramon,"san francisco, ca",75.3,42.86,68.66,,,,,,,,San Francisco,15,Moderate,Moderate,Affluent,No,Yes,No,Mainly a duty,Moderately strongly,Not at all,No,No,No,No,No,No,No,No,Yes,One to Four,A few times a year,Not at all,Very often,A great deal,A little,None at all,2,2,Not very often,Public school,Not at all important,Not too important,Not at all important,Not very often,Rarely,Not very often,Full-time,50,5,1,,Every week,Most of the time,Very comfortable,Some of the time,Not comfortable at all,Not too comfortable,No,A little,Yes,Agree,Some of the time,Agree,Govt should provide more services,5,1,1,Almost never,Yes,Zero to two,Zero to two,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
20,18-29,Single,Female,Mixed,Some college,Post-grad,4-year,Liberal,"fairfax, va",,,,,,,,,,,"Vienna, VA","fairfax, va",,,,,,,,,,,"Vienna, VA",15,Liberal,Liberal,Very affluent,Yes,Yes,,Mainly a duty,Moderately strongly,A little strongly,Yes,No,No,No,No,No,No,Yes,No,Five to ten,A few times a year,Moderately involved,Very often,A moderate amount,A moderate amount,A moderate amount,0,3,Very often,Public school,Very important,Very important,Very important,Very often,Often,Not very often,Student,10,15,2,15,Never,Most of the time,Very comfortable,Most of the time,Very comfortable,Very comfortable,Yes,A little,Don't know,Agree,Most of the time,Disagree,Govt should provide more services,5,5,2,Almost all the time,Yes,Zero to two,Two to four,More than three hours,Not comfortable at all,Not comfortable at all,Not very often,Rarely,Not very often,Liberal
57,45-59,Divorced,Female,White,4-year,Post-grad,4-year,Liberal,"henderson, nc",-27.5,30.64,28,109719,99704,42746,23038,46448,0.437,21.59184485,"Hendersonville, NC","henderson, nc",-27.5,30.64,28,109719,99704,42746,23038,46448,0.437,21.59184485,"Hendersonville, NC",45,Conservative,Conservative,Affluent,Yes,Yes,,Mainly a duty,,Moderately strongly,Yes,Yes,No,Yes,Yes,No,No,Yes,No,More than ten,Never,Not at all,Rarely,A little,A great deal,A great deal,0,1,Often,Public school,Somewhat important,Very important,Somewhat important,Often,Not very often,Rarely,Full-time,60,4,3,,A few times a year,Most of the time,Very comfortable,Most of the time,Very comfortable,Somewhat comfortable,Yes,A moderate amount,Yes,Agree,Never,Agree,Govt should provide more services,3,5,2,Almost all the time,Yes,More than six,Four to six,Less than 1 hour,Very comfortable,Very comfortable,Not very often,Not very often,Often,Liberal
21,18-29,Single,Female,White,High school graduate,4-year,2-year,Slightly Conservative,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","new hanover, nc",-3.9,16.04,6.52,213091,172714,95230,53029,50088,0.4835,20.37955476,"Wilmington, NC",11,Conservative,Slightly Liberal,Very affluent,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,No,Yes,Yes,No,No,Yes,Yes,Yes,No,More than ten,Every week,Very involved,Very often,A great deal,A great deal,A great deal,2,0,Very often,Private non-religious (secular) school,Somewhat important,Very important,Somewhat important,Very often,Very often,Very often,Part-time,20,11,3,20,Once or twice a month,Always,Somewhat comfortable,Always,Very comfortable,Very comfortable,No,A moderate amount,Yes,Disagree,Some of the time,Disagree,Govt should provide fewer services,5,5,2,Almost all the time,Yes,Zero to two,Zero to two,Less than 1 hour,Somewhat comfortable,Somewhat comfortable,Rarely,Rarely,Rarely,Conservative
20,18-29,Single,Female,White,Some college,Post-grad,Post-grad,Extremely Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel hill, NC","arlington, va",,,,,,,,,,,"Arlington, VA",16,Liberal,Liberal,Affluent,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,Yes,Yes,No,No,No,No,No,Yes,Yes,More than ten,Almost every week,Moderately involved,Not very often,A great deal,A great deal,A great deal,3,3,Often,Public school,Very important,Somewhat important,Not too important,Very often,Rarely,Rarely,Student,5,,0,25,Never,About half the time,Not too comfortable,Always,Very comfortable,Very comfortable,No,None at all,Don't know,Agree,Some of the time,Disagree,Govt should provide many more services,5,3,2,,Yes,Zero to two,Two to four,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
23,18-29,Single,Female,Black,4-year,Some college,Some college,Moderate,"guilford, nc",19.9,9.96,11.56,506763,287617,220368,114006,45651,0.4831,21.31548138,"Greensboro, NC","henderson, nc",-27.5,30.64,28,109719,99704,42746,23038,46448,0.437,21.59184485,"Hendersonville, NC",18,Moderate,Moderate,Affluent,Yes,Yes,,Mainly a choice,Moderately strongly,Very strongly,No,Yes,No,No,No,No,No,No,No,Zero,Every week,Not at all,Rarely,A great deal,A great deal,A great deal,2,2,Very often,Public school,Very important,Very important,Somewhat important,Very often,Very often,Very often,Student,32,5,2,7,A few times a year,Some of the time,Not comfortable at all,Most of the time,Somewhat comfortable,Very comfortable,No,A moderate amount,No,Disagree,Never,Agree,Govt should provide many more services,5,3,2,,Yes,Two to four,Two to four,One to three,Very comfortable,Very comfortable,Often,Often,Rarely,Moderate
20,18-29,Single,Female,White,Some college,Post-grad,Post-grad,Moderate,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","nassau, ny",5.3,17.06,9.3,1354612,951347,630034,399004,99465,0.453,34.86807061,"Oyster Bay, NY",18,Liberal,Conservative,Very affluent,No,No,,Mainly a choice,Not at all,A little strongly,No,No,No,No,No,No,No,Yes,Yes,More than ten,Once or twice a month,A little involved,Rarely,A great deal,A great deal,A little,3,1,Rarely,Public school,Somewhat important,Somewhat important,Not at all important,Very often,Rarely,Rarely,Student,,,,25,Never,Some of the time,Not too comfortable,Some of the time,Not too comfortable,Not comfortable at all,No,A moderate amount,Don't know,Disagree,About half the time,Disagree,Govt provides the right amount of services,5,1,1,,Yes,Two to four,Two to four,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Moderate
60,60 and above,Single,Female,White,Post-grad,Post-grad,4-year,Conservative,"henderson, nc",-27.5,30.64,28,109719,99704,42746,23038,46448,0.437,21.59184485,"Hendersonville, NC","jackson, la",-40.6,12.8,34.28,16109,10948,4955,1450,38029,0.455,30.24217962,"Jonesboro, LA",27,Slightly Conservative,Slightly Conservative,Middle class,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than ten,Almost every week,Moderately involved,Not very often,A great deal,A great deal,A little,0,0,Not very often,Public school,Very important,Somewhat important,Somewhat important,Often,Not very often,Often,Retired,,,,0,A few times a year,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Not too comfortable,No,A little,No,Agree,About half the time,Disagree,Govt should provide fewer services,5,2,2,,Yes,Two to four,Two to four,More than three hours,Not too comfortable,Not too comfortable,Not very often,Rarely,Rarely,Conservative
19,18-29,Single,Female,White,High school graduate,Post-grad,4-year,Liberal,"watauga, nc",1.5,12.5,5.6,52240,49183,21396,11057,37656,0.5285,19.54430735,"Boone, NC","wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,"Holly Springs, NC",9,Conservative,Slightly Conservative,Affluent,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,No,Yes,No,Yes,No,No,No,No,No,One to Four,Never,Not at all,Rarely,A moderate amount,A moderate amount,A moderate amount,3,1,Often,Public school,Somewhat important,Very important,Not too important,Very often,Often,Not very often,Student,,,,60,Never,Some of the time,Very comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,Yes,A little,Don't know,Agree,Some of the time,Disagree,Govt should provide more services,5,5,2,Almost all the time,Yes,Zero to two,Two to four,Less than 1 hour,Not too comfortable,Not too comfortable,Not very often,Rarely,Rarely,Liberal
20,18-29,Single,Female,White,Some college,Post-grad,4-year,Extremely Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,"Charlotte, NC",16,Liberal,Liberal,Affluent,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One to Four,Every week,Very involved,Often,A great deal,A great deal,A great deal,3,3,Very often,Private non-religious (secular) school,Very important,Very important,Somewhat important,Very often,Often,Often,Student,10,4,4,25,Never,About half the time,Somewhat comfortable,Always,Very comfortable,Somewhat comfortable,No,A moderate amount,No,Strongly agree,Some of the time,Strongly disagree,Govt should provide more services,5,5,4,Almost all the time,Yes,Two to four,Two to four,One to three,Very comfortable,Somewhat comfortable,Very often,Not very often,Not very often,Liberal
21,18-29,Single,Female,White,Some college,4-year,4-year,Slightly Conservative,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Chapel Hill, NC","guilford, nc",19.9,9.96,11.56,506763,287617,220368,114006,45651,0.4831,21.31548138,"High Point, NC",15,Moderate,Moderate,Affluent,Yes,Yes,,Mainly a duty,Moderately strongly,Moderately strongly,No,No,No,No,No,No,No,Yes,Yes,More than ten,Almost every week,Not at all,Rarely,A moderate amount,A moderate amount,None at all,4,4,Not very often,Public school,Somewhat important,Very important,Not at all important,Often,Rarely,Rarely,Student,,,,21,A few times a year,Most of the time,Somewhat comfortable,Most of the time,Not too comfortable,Not too comfortable,No,A moderate amount,Don't know,Strongly disagree,About half the time,Disagree,Govt provides the right amount of services,5,3,2,Occasionally,Yes,Two to four,Zero to two,One to three,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
20,18-29,Single,Female,White,Some college,4-year,4-year,Liberal,"new hanover, nc",-3.9,16.04,6.52,213091,172714,95230,53029,50088,0.4835,20.37955476,"Wilmington, NC","henderson, nc",-27.5,30.64,28,109719,99704,42746,23038,46448,0.437,21.59184485,"Hendersonville, NC",2,Moderate,Moderate,Affluent,No,No,,Mainly a choice,Not at all,Very strongly,No,Yes,No,No,No,No,No,Yes,Yes,More than ten,Once or twice a month,Not at all,Rarely,A little,A great deal,A little,2,1,Not very often,Public school,Very important,Very important,Somewhat important,Not very often,Rarely,Often,Student,17.5,,,20,Every week,Most of the time,Not too comfortable,Some of the time,Somewhat comfortable,Somewhat comfortable,No,A moderate amount,No,Disagree,About half the time,Disagree,Govt should provide more services,5,3,2,Occasionally,Yes,More than six,Zero to two,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Rarely,Rarely,Liberal
45,45-59,Married,Female,White,2-year,High school graduate,High school graduate,Moderate,"davidson, nc",-48.4,29.32,40.22,163867,141927,67665,21196,43363,0.4365,24.13389492,"Lexington, NC","davidson, nc",-48.4,29.32,40.22,163867,141927,67665,21196,43363,0.4365,24.13389492,"Lexington, NC",45,Extremely Conservative,Conservative,Poor,Yes,Yes,,Mainly a duty,Moderately strongly,Not at all,No,No,No,No,No,No,No,No,No,Zero,Never,Not at all,Rarely,A great deal,A great deal,A moderate amount,2,0,Often,Public school,Somewhat important,Not too important,Not at all important,Rarely,Rarely,Rarely,Full-time,40,10,2,,A few times a year,Some of the time,Not too comfortable,Most of the time,Somewhat comfortable,Not too comfortable,No,A moderate amount,No,Agree,Never,Disagree,Govt provides the right amount of services,3,3,2,Occasionally,Yes,Two to four,Zero to two,More than three hours,Not too comfortable,Not too comfortable,Not very often,Rarely,Rarely,Moderate
